Código,Descripción,Exstencias,Maxima,Costo,Precio,Venta
1,Audifonos Iphone,15,15,4500,6000,0
2,Cargador Samsung,15,15,1900,2500,0
3,Airpods Iphone,15,15,6500,10000,0
4,Llave maya 32 GB,15,15,2000,2500,0
5,Llave maya 64 GB,15,15,4000,5000,0
6,AppleWatch,15,15,6850,9000,0
7,Micro SD,15,15,750,2000,0
8,Ipad,15,15,7000,12500,0
9,Powerbank,15,15,3000,5000,0
10,Adaptador USB tipo a Jack,15,15,1500,3000,0
11,Funda Iphone,15,15,2000,3000,0
12,Disco Duro,15,15,5500,7500,0
13,Parlante Bluetooth,15,15,2990,4500,0
14,Go Pro,15,15,10.0,15000,0
15,Chrome Cast,15,15,4300,8500,0
16,Cable HDMI,15,15,2.6,4500,0
